import time: self [us] | cumulative | imported package
import time:       614 |       3202 |           setuptools.config._apply_pyprojecttoml
import time:       426 |       3794 |         setuptools.config.pyprojecttoml
import time:       468 |        468 |         setuptools.discovery
import time:       491 |        491 |           setuptools.extern.jaraco.text
import time:       143 |        633 |         setuptools._reqs
import time:       113 |        113 |           setuptools._itertools
import time:       204 |        317 |         setuptools._entry_points
import time:       912 |      47001 |       setuptools.dist
import time:       150 |        150 |           setuptools.py34compat
import time:       146 |        296 |         setuptools._imp
import time:       212 |        508 |       setuptools.depends
import time:       125 |        125 |       setuptools.logging
import time:       281 |        281 |         distutils.ccompiler
import time:        95 |         95 |         winreg
import time:       371 |        746 |       distutils.msvc9compiler
import time:      2095 |     136108 |     distutils
import time:       282 |     136390 |   GPUtil.GPUtil
import time:       258 |     136647 | GPUtil
import time:       175 |        175 |   __future__
import time:      2414 |       2414 |   psutil._common
import time:       326 |        326 |   psutil._compat
import time:       677 |        677 |     psutil._psposix
import time:       198 |        198 |     psutil._psutil_linux
import time:       130 |        130 |     psutil._psutil_posix
import time:       201 |        201 |     resource
import time:      3962 |       5165 |   psutil._pslinux
import time:      1177 |       9256 | psutil
import time:     25634 |      25634 |         _dlib_pybind11
import time:       290 |      25923 |       dlib
import time:       333 |        333 |         numpy._globals
import time:       189 |        189 |         numpy.__config__
import time:       144 |        144 |         numpy._version
import time:       146 |        146 |         numpy._distributor_init
import time:       161 |        161 |           numpy.version
import time:      6272 |       6272 |               numpy.core._multiarray_umath
import time:       313 |        313 |                   numpy.compat._inspect
import time:       127 |        127 |                     pickle5
import time:       297 |        424 |                   numpy.compat.py3k
import time:       407 |       1143 |                 numpy.compat
import time:        71 |       1213 |               numpy.compat._inspect
import time:       640 |       8124 |             numpy.core.overrides
import time:      2302 |      10425 |           numpy.core.multiarray
import time:       273 |        273 |           numpy.core.umath
import time:       202 |        202 |             numpy.core._string_helpers
import time:       207 |        207 |               numpy.core._dtype
import time:       559 |        765 |             numpy.core._type_aliases
import time:       672 |       1638 |           numpy.core.numerictypes
import time:       397 |        397 |                   numpy.core._exceptions
import time:       362 |        758 |                 numpy.core._methods
import time:      4144 |       4901 |               numpy.core.fromnumeric
import time:       880 |       5780 |             numpy.core.shape_base
import time:       295 |        295 |             numpy.core._ufunc_config
